Ticket	Item	Type	Size	Open Time	Open Price	Close Time	Close Price	S/L	T/P	Commission	Swap	Profit	Comment	XM Points
103000014	GBPUSD	buy	1.5	2025.02.03 10:18:23	1.2685	2025.02.03 14:04:23	1.26939	1.26596	1.2711	-12	-0.4	133	Range	23
103000015	USDJPY	buy	0.6	2025.02.04 20:03:15	149.651	2025.02.04 23:57:15	149.941	149.521	149.909	-12	0.4	17412	Pullback	12
103000016	GBPUSD	buy	1.1	2025.02.07 18:00:23	1.27031	2025.02.07 21:07:23	1.27123	1.26796	1.27529	-12	-0.1	101	Range	15
103000017	GBPJPY	sell	0.6	2025.02.10 07:10:32	195.955	2025.02.10 08:05:32	195.91	196.09	195.547	-12	0.2	2721	Range	11
103000018	USDJPY	buy	1.7	2025.02.13 02:12:47	151.142	2025.02.13 06:10:47	151.285	150.999	151.652	-12	0.5	24387	Range	20
103000019	EURJPY	sell	1.9	2025.02.14 13:02:32	161.973	2025.02.14 16:42:32	161.535	162.085	161.437	-12	-0.2	83060	Range	35
103000020	GBPUSD	sell	1.5	2025.02.17 09:31:16	1.28466	2025.02.17 14:19:16	1.28519	1.28683	1.28227	-12	-0.4	-79	Pullback	24
103000021	USDJPY	buy	0.8	2025.02.18 15:57:30	149.947	2025.02.18 20:11:30	150.17	149.834	150.269	-12	1	17848	Range	11
103000022	AUDUSD	buy	1.9	2025.02.20 00:04:18	0.65202	2025.02.20 04:33:18	0.65368	0.64957	0.65488	-12	1	316	Trend	26
103000023	EURJPY	buy	1.8	2025.02.24 00:21:12	161.681	2025.02.24 05:10:12	161.696	161.422	162.107	-12	0.6	2723	Pullback	28
103000024	GBPUSD	buy	1.2	2025.02.26 05:25:26	1.30131	2025.02.26 05:56:26	1.29947	1.29968	1.30574	-12	0	-221	Pullback	15
103000025	AUDUSD	sell	2.4	2025.02.28 21:04:06	0.66776	2025.03.01 02:45:06	0.66473	0.66898	0.66176	-12	0	728	Pullback	35
103000026	EURUSD	sell	2.1	2025.03.03 18:19:41	1.09882	2025.03.03 23:22:41	1.09864	1.09983	1.09565	-12	0.4	38	Breakout	32
103000027	AUDUSD	buy	0.8	2025.03.06 13:45:23	0.67245	2025.03.06 14:16:23	0.67622	0.67037	0.67571	-12	0.9	302	Range	14
103000028	EURJPY	sell	2.7	2025.03.07 18:58:35	163.789	2025.03.07 20:35:35	163.743	164.025	163.309	-12	-1.2	12329	Trend	44
103000029	AUDUSD	buy	2.3	2025.03.10 20:40:27	0.65271	2025.03.10 23:07:27	0.65041	0.65024	0.65646	-12	0.2	-529	Range	45
103000030	GBPJPY	sell	2.2	2025.03.13 05:01:05	193.194	2025.03.13 05:35:05	193.42	193.446	192.81	-12	-0.6	-49709	Pullback	23
103000031	USDJPY	buy	1.5	2025.03.17 03:06:52	149.691	2025.03.17 05:32:52	149.482	149.461	150.289	-12	1.3	-31449	Pullback	25
103000032	EURJPY	buy	2.8	2025.03.18 15:23:08	161.59	2025.03.18 22:09:08	162.031	161.4	161.969	-12	1.4	123688	Range	41
103000033	GBPUSD	sell	2.2	2025.03.19 19:16:01	1.28715	2025.03.19 20:37:01	1.28936	1.28881	1.28245	-12	-1.3	-485	Breakout	35
103000034	GBPUSD	sell	0.9	2025.03.21 13:04:58	1.26099	2025.03.21 15:08:58	1.26181	1.26265	1.2556	-12	-1.3	-74	Breakout	15
103000035	USDJPY	buy	1.8	2025.03.24 08:33:34	150.74	2025.03.24 09:27:34	150.462	150.533	151.214	-12	0.3	-49983	Range	20
103000036	GBPJPY	sell	1.3	2025.03.26 16:41:38	193.373	2025.03.26 19:41:38	193.276	193.596	193.07	-12	-0.8	12595	Range	20
103000037	GBPUSD	buy	0.7	2025.03.28 17:27:13	1.25986	2025.03.28 19:30:13	1.26312	1.25807	1.26409	-12	1.2	228	Breakout	11
103000038	EURJPY	buy	2.4	2025.03.31 08:08:31	161.619	2025.03.31 11:56:31	161.624	161.402	162.03	-12	0.7	1035	Reversal	33
103000039	GBPJPY	sell	2.4	2025.04.02 02:39:42	192.533	2025.04.02 06:16:42	192.808	192.727	192.308	-12	-1	-65979	Pullback	38
103000040	EURUSD	sell	1.3	2025.04.03 06:09:26	1.06362	2025.04.03 12:46:26	1.06109	1.06563	1.05971	-12	-0.6	329	Pullback	16
103000041	GBPJPY	buy	1.2	2025.04.07 00:46:41	193.003	2025.04.07 01:13:41	192.908	192.865	193.362	-12	0.7	-11447	Range	23
103000042	EURJPY	sell	2.7	2025.04.08 22:47:04	161.278	2025.04.09 03:29:04	161.116	161.453	160.712	-12	-1.1	43592	Reversal	52
103000043	USDJPY	sell	5.5	2025.04.11 11:28:19	151.419	2025.04.11 15:23:19	152.032	152.159	151.133	-12	-0.7	-337392	FOMO	68
103000044	EURJPY	sell	2.3	2025.04.14 08:03:00	163.266	2025.04.14 11:07:00	163.435	163.375	162.933	-12	-1.4	-38788	Pullback	37
103000045	EURUSD	sell	2.7	2025.04.16 05:26:15	1.08337	2025.04.16 08:48:15	1.07915	1.08547	1.07873	-12	0	1140	Range	33
103000046	AUDUSD	sell	0.6	2025.04.18 12:28:25	0.64805	2025.04.18 16:40:25	0.65215	0.64907	0.64271	-12	0.3	-246	Reversal	9
103000047	EURJPY	sell	1.5	2025.04.21 08:57:26	162.165	2025.04.21 12:36:26	162.084	162.312	161.63	-12	0.2	12152	Reversal	20
103000048	GBPJPY	buy	2.3	2025.04.22 19:35:16	195.317	2025.04.23 01:02:16	194.845	195.064	195.601	-12	-0.1	-108641	Reversal	36
103000049	GBPJPY	buy	1.6	2025.04.24 13:25:54	196.857	2025.04.24 19:15:54	196.682	196.724	197.345	-12	0.9	-28075	Pullback	32
103000050	GBPJPY	buy	1.8	2025.04.25 16:52:12	192.828	2025.04.25 20:13:12	192.492	192.564	193.42	-12	1.1	-60468	Range	25
103000051	EURJPY	buy	2.3	2025.04.28 06:42:06	164.737	2025.04.28 10:22:06	164.752	164.549	165.053	-12	-0.2	3417	Range	40
103000052	EURUSD	sell	2.2	2025.04.30 16:53:35	1.09801	2025.04.30 21:00:35	1.09452	1.1008	1.09553	-12	-0.4	767	Reversal	44
103000053	EURUSD	buy	2.3	2025.05.05 06:50:29	1.06473	2025.05.05 11:29:29	1.06392	1.06352	1.07118	-12	-0.3	-186	Range	32
103000054	GBPUSD	buy	1.2	2025.05.06 19:03:01	1.25948	2025.05.07 01:59:01	1.26178	1.25766	1.26193	-12	0.8	276	Trend	18
103000055	USDJPY	buy	2.4	2025.05.08 17:05:43	149.767	2025.05.08 19:50:43	149.648	149.618	150.103	-12	1.1	-28555	Reversal	48
103000056	EURUSD	buy	2.3	2025.05.12 15:00:53	1.08561	2025.05.12 17:17:53	1.08641	1.08329	1.088	-12	0.7	185	Pullback	40
103000057	EURJPY	buy	1.7	2025.05.14 03:23:20	162.347	2025.05.14 03:57:20	162.396	162.192	162.605	-12	1.2	8384	Breakout	19
103000058	GBPJPY	sell	1.5	2025.05.16 10:29:49	196.829	2025.05.16 11:10:49	196.72	197.056	196.231	-12	-1	16372	Reversal	25
103000059	EURUSD	buy	1.1	2025.05.19 15:14:17	1.1032	2025.05.19 16:09:17	1.0995	1.10204	1.10818	-12	0.8	-407	Breakout	20
103000060	EURJPY	buy	0.6	2025.05.21 19:00:48	163.089	2025.05.21 23:05:48	163.595	162.823	163.497	-12	1.5	30367	Range	7
103000061	EURJPY	sell	1.4	2025.05.26 06:01:47	164.292	2025.05.26 09:19:47	164.401	164.473	163.973	-12	-0.8	-15321	Reversal	21
103000062	GBPJPY	sell	2.1	2025.05.28 13:26:03	196.355	2025.05.28 14:45:03	196.59	196.536	196.113	-12	-1.3	-49361	Trend	37
103000063	AUDUSD	sell	0.8	2025.05.29 15:33:48	0.65791	2025.05.29 17:05:48	0.6549	0.65945	0.65152	-12	0.1	241	Reversal	11
103000064	GBPJPY	sell	2.7	2025.05.30 19:56:28	192.602	2025.05.30 23:28:28	192.626	192.844	192.261	-12	-1	-6390	Trend	54
103000065	EURUSD	sell	2.7	2025.06.02 13:47:52	1.05583	2025.06.02 15:36:52	1.05715	1.05763	1.0535	-12	-0.1	-357	Trend	53
103000066	GBPJPY	buy	1.4	2025.06.04 09:30:05	196.614	2025.06.04 14:08:05	196.578	196.468	196.97	-12	0.4	-5048	Breakout	25
103000067	USDJPY	sell	0.6	2025.06.06 21:37:50	148.982	2025.06.07 03:15:50	148.732	149.089	148.682	-12	-0.4	15029	Pullback	10
103000068	USDJPY	sell	1	2025.06.09 19:47:54	150.966	2025.06.10 00:24:54	151.123	151.154	150.741	-12	0.3	-15668	Range	14
103000069	EURJPY	sell	1.4	2025.06.11 04:52:08	162.068	2025.06.11 09:01:08	162.387	162.26	161.712	-12	-1	-44611	Trend	16
103000070	AUDUSD	buy	2	2025.06.13 09:00:37	0.67091	2025.06.13 13:38:37	0.67298	0.66833	0.67448	-12	0.3	415	Pullback	34
103000071	GBPUSD	sell	1.9	2025.06.16 23:00:32	1.29008	2025.06.16 23:53:32	1.28916	1.29275	1.2846	-12	0.4	175	Trend	27
103000072	EURUSD	buy	2.2	2025.06.18 19:45:29	1.09387	2025.06.19 00:15:29	1.09593	1.09241	1.09821	-12	0.1	453	Pullback	28
103000073	USDJPY	sell	2.7	2025.06.20 07:42:06	148.701	2025.06.20 11:29:06	148.402	148.893	148.137	-12	-0.9	80734	Pullback	43
103000074	USDJPY	sell	2.5	2025.06.23 06:08:32	149.636	2025.06.23 11:12:32	149.356	149.737	149.335	-12	0.3	70002	Reversal	49
103000075	GBPJPY	sell	2.2	2025.06.25 15:39:37	193.559	2025.06.25 21:11:37	193.513	193.815	193.204	-12	0.1	10083	Range	23
103000076	EURUSD	sell	2.6	2025.06.27 21:28:17	1.10106	2025.06.28 03:29:17	1.09892	1.10279	1.09782	-12	0.4	556	Reversal	52
103000077	USDJPY	sell	2.2	2025.06.30 00:18:19	149.354	2025.06.30 06:09:19	149.598	149.546	149.062	-12	-0.1	-53655	Pullback	40
103000078	USDJPY	sell	2.3	2025.07.02 16:28:21	149.522	2025.07.02 19:45:21	149.235	149.677	149.159	-12	-0.9	65967	Breakout	34
103000079	EURUSD	sell	4.3	2025.07.04 08:08:26	1.07701	2025.07.04 10:10:26	1.083	1.08323	1.07358	-12	0.1	-2574	FOMO	79
103000080	AUDUSD	sell	1.4	2025.07.07 17:43:23	0.65954	2025.07.07 22:14:23	0.65763	0.66178	0.65363	-12	0.3	267	Reversal	20
103000081	GBPJPY	sell	1.8	2025.07.09 23:07:29	194.234	2025.07.10 03:46:29	194.531	194.426	193.838	-12	-0.9	-53376	Range	30
103000082	EURJPY	buy	1.6	2025.07.14 02:27:26	164.632	2025.07.14 07:53:26	164.503	164.437	164.84	-12	0.3	-20648	Pullback	30
103000083	EURJPY	sell	2.6	2025.07.15 19:29:24	161.078	2025.07.16 00:11:24	160.783	161.261	160.53	-12	-1.4	76667	Range	38
103000084	GBPUSD	buy	2.1	2025.07.18 00:21:06	1.27147	2025.07.18 02:53:06	1.26863	1.26994	1.27577	-12	1	-596	Range	38
103000085	EURUSD	sell	2.7	2025.07.21 22:05:37	1.0846	2025.07.22 04:14:37	1.08919	1.0856	1.07916	-12	0.4	-1240	Range	46
103000086	GBPJPY	sell	1.1	2025.07.24 11:46:50	194.073	2025.07.24 13:35:50	193.972	194.187	193.426	-12	0.2	11097	Trend	19
103000087	GBPUSD	buy	2.4	2025.07.28 21:38:13	1.29009	2025.07.28 23:46:13	1.28836	1.28799	1.29366	-12	0.3	-416	Range	39
103000088	AUDUSD	sell	2.3	2025.07.30 18:57:05	0.66497	2025.07.30 19:55:05	0.66496	0.66756	0.66031	-12	-0.1	1	Range	24
103000089	GBPUSD	buy	0.8	2025.08.04 09:36:55	1.25951	2025.08.04 10:33:55	1.26151	1.25847	1.26534	-12	0.1	160	Breakout	9
103000090	AUDUSD	sell	1.4	2025.08.06 19:29:14	0.67003	2025.08.06 22:08:14	0.66942	0.67179	0.66615	-12	-0.2	86	Range	18
103000091	AUDUSD	buy	1.7	2025.08.08 07:01:35	0.65768	2025.08.08 07:53:35	0.65505	0.65624	0.66271	-12	0	-447	Pullback	24
103000092	USDJPY	sell	2.4	2025.08.11 11:25:46	148.583	2025.08.11 12:54:46	148.122	148.704	148.227	-12	0.2	110704	Pullback	28
103000093	EURJPY	buy	1.6	2025.08.13 06:31:35	161.473	2025.08.13 07:00:35	161.629	161.245	161.844	-12	1.4	24995	Range	20
103000094	GBPJPY	sell	1.7	2025.08.14 08:50:58	195.564	2025.08.14 11:54:58	195.885	195.753	195.217	-12	-1.3	-54654	Breakout	22
103000095	GBPJPY	buy	0.9	2025.08.18 08:54:51	192.961	2025.08.18 10:58:51	193.17	192.802	193.398	-12	0.9	18880	Breakout	15
103000096	GBPUSD	sell	6.8	2025.08.21 07:11:58	1.30417	2025.08.21 11:08:58	1.31247	1.31088	1.30045	-12	-1	-5644	FOMO	74
103000097	AUDUSD	sell	2.2	2025.08.22 18:16:54	0.65365	2025.08.23 00:46:54	0.65371	0.65632	0.64829	-12	0.5	-13	Reversal	29
103000098	EURJPY	sell	2.3	2025.08.25 11:25:55	161.044	2025.08.25 13:25:55	160.509	161.223	160.592	-12	-0.1	123026	Trend	44
103000099	GBPJPY	buy	0.9	2025.08.26 12:59:53	197.457	2025.08.26 17:44:53	197.681	197.273	197.708	-12	0.4	20160	Reversal	18
103000100	EURJPY	buy	2.1	2025.08.29 08:57:23	161.835	2025.08.29 13:29:23	161.537	161.684	162.259	-12	1.3	-62619	Trend	39
103000101	USDJPY	sell	1.6	2025.09.01 06:54:14	149.436	2025.09.01 13:01:14	149.282	149.601	148.817	-12	-0.8	24578	Breakout	27
103000102	GBPJPY	sell	1.5	2025.09.02 13:10:26	193.359	2025.09.02 19:55:26	193.312	193.609	192.767	-12	-1.4	7017	Breakout	15
103000103	EURUSD	buy	1.4	2025.09.04 03:51:21	1.0578	2025.09.04 10:39:21	1.05927	1.05582	1.06375	-12	-0.3	206	Reversal	25
103000104	AUDUSD	sell	0.6	2025.09.05 07:52:31	0.66425	2025.09.05 10:03:31	0.66223	0.66601	0.66168	-12	0.3	121	Reversal	12
103000105	USDJPY	sell	2	2025.09.08 16:17:47	149.24	2025.09.08 22:11:47	148.987	149.494	148.983	-12	-1	50687	Range	37
103000106	EURUSD	sell	0.8	2025.09.11 12:26:55	1.09918	2025.09.11 14:14:55	1.09829	1.10057	1.09583	-12	-1.1	71	Range	13
103000107	AUDUSD	buy	2.2	2025.09.15 03:41:44	0.66004	2025.09.15 04:52:44	0.66026	0.65833	0.66602	-12	-0.4	48	Range	30
103000108	USDJPY	sell	1.4	2025.09.17 01:29:58	149.888	2025.09.17 08:07:58	150.194	150.084	149.427	-12	-0.5	-42775	Trend	16
103000109	GBPUSD	sell	2.4	2025.09.19 22:58:50	1.27152	2025.09.20 00:16:50	1.26846	1.273	1.26863	-12	-0.5	735	Trend	35
103000110	GBPUSD	sell	1.7	2025.09.22 09:46:14	1.26445	2025.09.22 13:53:14	1.26831	1.26623	1.26198	-12	-0.7	-655	Reversal	25
103000111	GBPUSD	sell	2.6	2025.09.23 20:14:50	1.26298	2025.09.23 20:58:50	1.26077	1.26551	1.2577	-12	-1.2	574	Breakout	46
103000112	EURJPY	sell	0.5	2025.09.26 01:53:14	163.789	2025.09.26 08:38:14	163.28	163.895	163.416	-12	-1.1	25409	Range	5
103000113	GBPUSD	sell	1.3	2025.09.29 01:47:43	1.25859	2025.09.29 04:22:43	1.26116	1.26094	1.25423	-12	0.2	-334	Breakout	20
103000114	GBPUSD	sell	1.9	2025.10.01 19:04:05	1.27439	2025.10.01 20:40:05	1.27472	1.2764	1.27236	-12	0.3	-63	Pullback	23
103000115	GBPJPY	buy	1.6	2025.10.06 01:04:57	194.81	2025.10.06 07:38:57	195.114	194.548	195.264	-12	1.1	48516	Reversal	16
103000116	EURJPY	sell	2.7	2025.10.08 04:09:08	162.416	2025.10.08 09:21:08	162.256	162.679	162.095	-12	-0.6	43327	Pullback	39
103000117	EURJPY	sell	1	2025.10.10 13:44:43	161.226	2025.10.10 18:19:43	161.263	161.357	160.978	-12	-1.2	-3753	Range	15
103000118	USDJPY	buy	2.1	2025.10.13 02:02:58	150.541	2025.10.13 06:06:58	150.94	150.337	150.962	-12	0.3	83847	Range	24
103000119	EURUSD	buy	2.5	2025.10.15 12:54:59	1.07175	2025.10.15 13:58:59	1.0749	1.06987	1.07687	-12	0.7	788	Breakout	47
103000120	EURJPY	buy	1.5	2025.10.20 00:20:38	161.223	2025.10.20 02:20:38	161.625	160.994	161.582	-12	0.1	60377	Range	28
103000121	EURJPY	sell	2.7	2025.10.21 15:08:16	161.318	2025.10.21 17:07:16	161.574	161.43	160.787	-12	-0.5	-69057	Pullback	46
103000122	EURUSD	sell	1.7	2025.10.23 10:48:22	1.07013	2025.10.23 12:23:22	1.07199	1.07159	1.06448	-12	-0.5	-317	Range	23
103000123	GBPUSD	buy	2.8	2025.10.27 17:39:57	1.26588	2025.10.27 23:40:57	1.2687	1.26324	1.27202	-12	0.6	789	Range	45
103000124	AUDUSD	buy	1.5	2025.10.30 16:38:57	0.66842	2025.10.30 22:40:57	0.66858	0.66627	0.67376	-12	0.7	23	Reversal	26
103000125	AUDUSD	sell	1.3	2025.11.03 14:19:27	0.67409	2025.11.03 20:41:27	0.6708	0.67651	0.66892	-12	-1.3	428	Reversal	24
103000126	GBPJPY	buy	2.1	2025.11.05 15:30:08	195.529	2025.11.05 18:42:08	195.252	195.264	195.905	-12	-0.3	-58047	Trend	41
103000127	GBPJPY	sell	1.3	2025.11.07 19:44:56	192.79	2025.11.08 02:00:56	192.951	192.953	192.336	-12	-0.4	-20950	Trend	25
103000128	USDJPY	sell	1.1	2025.11.10 20:59:20	151.22	2025.11.11 02:59:20	150.894	151.445	150.678	-12	-1.1	35897	Trend	20
103000129	EURJPY	buy	1.6	2025.11.13 02:21:57	164.289	2025.11.13 03:03:57	164.399	164.085	164.689	-12	1.2	17448	Trend	21
103000130	AUDUSD	sell	1	2025.11.17 07:25:06	0.65082	2025.11.17 13:59:06	0.65312	0.65312	0.6455	-12	0.3	-229	Range	17
103000131	USDJPY	buy	1.9	2025.11.19 02:19:19	150.989	2025.11.19 06:11:19	150.852	150.878	151.429	-12	0.8	-26083	Pullback	21
103000132	GBPJPY	sell	0.9	2025.11.21 11:06:26	194.746	2025.11.21 15:10:26	194.989	194.856	194.18	-12	-0.4	-21829	Reversal	13
103000133	EURUSD	buy	2.6	2025.11.24 07:39:15	1.07118	2025.11.24 13:34:15	1.07068	1.07017	1.07384	-12	1.5	-129	Pullback	42
103000134	GBPUSD	buy	2.6	2025.11.25 21:08:56	1.26776	2025.11.26 03:15:56	1.26539	1.26662	1.27384	-12	-0.3	-616	Pullback	32
103000135	EURUSD	sell	6.1	2025.11.27 02:59:07	1.06881	2025.11.27 07:53:07	1.07357	1.07636	1.06582	-12	-1.5	-2908	FOMO	103
